household_id,occupancy_type,base_load,flex_scale,solar_capacity,battery_capacity,hvac_sensitivity,setpoint,noise,morning_shift,evening_shift
H000,working,0.8516429454246415,2.432554878419312,4.735465807341373,0.0,0.10315721526867311,19.09797718235349,0.04377980959110042,0,0
H001,retired,0.6913452722104857,1.2810944055322626,0.0,7.923668970718963,0.06163584851644959,20.838387506609532,0.06692410791070773,1,-2
H002,family,0.815740047956494,2.181353013241349,0.0,7.237564387044438,0.09381767166663552,21.69778107677407,0.06811307233045784,1,1
H003,working,0.602746877531222,1.3290799121487868,2.7271154688694477,6.09768893721764,0.1327302149737246,19.125745650148772,0.04095914379510607,-1,-1
H004,family,0.815690318188424,2.0024272871663764,0.0,0.0,0.07204460042454189,21.658545316388036,0.06671520570837451,1,-1
H005,working,0.2571399188089529,0.5456870524302047,5.1238554545777415,7.787594557706082,0.09439038323199116,21.680783759350394,0.05290274919306104,0,-1
H006,working,0.4322842554279577,1.3840640891904412,2.998012318730967,8.83230042903623,0.07743846052025874,21.704749015861204,0.03076022398665964,1,0
H007,remote,1.0564229979304773,2.196695111436749,2.8435449107231525,11.000341599417121,0.132042682025902,20.32172058403692,0.02662023067482273,0,0
H008,working,1.0900946342414974,2.4976228222513854,3.723935607683288,7.131447729242655,0.06980955167202896,19.19707634946898,0.06435596586118493,-1,1
H009,retired,0.9085967092822882,1.6602256009765064,5.0291319131020025,11.28575252793452,0.05841276622593829,20.179311722678204,0.025012278186143832,-1,-2
H010,remote,1.0012247209832938,1.6630191138148862,5.339788822777615,11.82283417233986,0.06354595367946908,19.694425641295894,0.06342047619734671,-1,-1
H011,remote,0.46410944247109853,1.2100020370407025,4.924629377819668,0.0,0.1446756035173703,21.344846437589197,0.03568532560260326,1,-1
H012,retired,0.31324300315052334,0.5031287355132351,4.264286585792661,0.0,0.12514529444593436,19.395895958871886,0.045659154187838946,1,1
H013,retired,0.366472707932199,0.902824402681671,5.269221248852947,11.512788941185278,0.05953609212730036,20.350175918278676,0.03687271394821145,-1,-1
H014,family,0.3741267762966981,0.8795434662778192,0.0,9.856638898771882,0.10527623680335832,19.648751584559587,0.030429418387052536,-1,0
H015,family,0.2298498939482948,0.6340871838724567,4.718788867333381,5.396763025160848,0.05346727042260664,20.17573168883173,0.05485818460689902,-1,0
H016,remote,0.47794844138208986,1.443043054406758,0.0,6.6099562777426835,0.09113039720662312,19.721594755540448,0.05361919216458519,-1,1
H017,working,0.5190976486622423,1.0781584853544304,0.0,9.698895776603926,0.07706439419817657,19.24368890442002,0.06962908977438817,0,1
H018,family,0.6381454311724118,1.3297114810409987,3.1577580864779518,0.0,0.0967681212484877,20.858169908099505,0.04055952379347456,0,-1
H019,retired,0.30014218516733426,0.82243061140749,3.115752304293907,5.904221116701772,0.05995465128087751,20.809576496844002,0.04618002735763059,1,-2
